cause_id,cause,name,medium_name,short_name
693,C.1.1.4,Motor vehicle road injuries,Motor vehicle road inj,Mot Veh
694,C.1.1.5,Other road injuries,Other road inj,Oth Road
695,C.1.2,Other transport injuries,Other transport inj,Oth Trans
696,C.2,Unintentional injuries,Unintentional inj,Unint Inj
697,C.2.1,Falls,Falls,Falls
698,C.2.2,Drowning,Drowning,Drown
699,C.2.3,"Fire, heat, and hot substances",Fire & heat,Fire
700,C.2.4,Poisonings,Poisonings,Poison
704,C.2.5,Exposure to mechanical forces,Mechanical forces,Mech
705,C.2.5.1,Unintentional firearm injuries,Unintentional firearm,Mech Gun
706,C.2.5.2,Unintentional suffocation,Unintentional suffocation,Mech Suff
707,C.2.5.3,Other exposure to mechanical forces,Other mechanical forces,Oth Mech
708,C.2.6,Adverse effects of medical treatment,Adverse medical treatment,Med Treat
709,C.2.7,Animal contact,Animal contact,Animal
710,C.2.7.1,Venomous animal contact,Venomous animal,Venom
711,C.2.7.2,Non-venomous animal contact,Non-venomous animal,Non Ven
712,C.2.8,Foreign body,Foreign body,F Body
713,C.2.8.1,Pulmonary aspiration and foreign body in airway,Pulmonary aspiration,F Body Asp
715,C.2.8.3,Foreign body in other body part,Other foreign body,Oth F Body
842,C.2.9,Environmental heat and cold exposure,Environ heat and cold,Heat + cold
716,C.2.10,Other unintentional injuries,Other unintentional,Oth Unint
717,C.3,Self-harm and interpersonal violence,Self-harm & violence,Self-harm & IPV
718,C.3.1,Self-harm,Self-harm,Self Harm
721,C.3.1.1,Self-harm by firearm,Self-harm by firearm,Self Fire
723,C.3.1.2,Self-harm by other specified means,Self-harm other means,Self Other
724,C.3.2,Interpersonal violence,Interpersonal violence,Violence
725,C.3.2.1,Physical violence by firearm,Violence firearm,Viol Gun
726,C.3.2.2,Physical violence by sharp object,Violence sharp object,Viol Knife
727,C.3.2.4,Physical violence by other means,Violence other means,Oth Viol
728,C.4,"Forces of nature, conflict and terrorism, and executions and police conflict",War & disaster,War+Disaster
729,C.4.1,Exposure to forces of nature,Nature disaster,Disaster
945,C.4.3,Conflict and terrorism,Conflict & terror,Conflict Terror
